Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsQty,DefectsDescriptionqty,Defects %,DefectStatus,Check,FPY,DPPM
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Theindicatorlight/flashisnotbright/weak,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,PS fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Micwassilent,soundsmall,andnoisy",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Battery cover scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Flash lamp cover scratches,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Senseoflight/distancefails,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Earphone silent,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Key Feelbad,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Key Feelbad,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Power not on / Abnormal / poor display,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Power not on / Abnormal / poor display,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Mobile phone is not charged and unstable,,,1,,Scanned,Assembly,,
