Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsQty,DefectsDescriptionqty,Defects %,DefectStatus,Check,FPY,DPPM
2024-08-01,31,August,2024,A11,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A06,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,CL6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,sound ofbothsidesofearphonenot same,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,CL6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,CL6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,The back camera has a bad white spot,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Back camera has lines,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Material code change,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Material code change,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,X6525,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A06,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,The back camera has a bad white spot,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Battery cover gap too large,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,The back camera has a bad white spot,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Side key fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Side key fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Side key fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
